chat-1697007878399#00000,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-27T07:04:38,Hi{&(thinkk-better-comma#1789)&} everyone!
chat-1697007908189#00001,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-27T07:05:08,My name is Nora. Nice to meet you all.
chat-1697008030621#00002,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-27T07:07:10,Nice to meet you too Nora
chat-1697008034658#00003,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-27T07:07:14,I'm Ivy
chat-1697112380832#00004,user-1696945767677#00034,staff-team-1697039745052#00015,2023-08-28T12:06:20,Hi{&(thinkk-better-comma#1789)&} Hazel
chat-1697112430603#00005,user-1696945767421#00033,staff-team-1696964685724#00004,2023-08-18T12:07:10,Nice to meet you!
chat-1697112454723#00006,user-1696945767421#00033,staff-team-1697048226225#00023,2023-09-08T12:07:34,Hi{&(thinkk-better-comma#1789)&} Theodore
chat-1697112481237#00007,user-1696945768869#00039,staff-team-1696964412555#00002,2023-08-18T12:08:01,Welcome!!
chat-1697112485037#00008,user-1696945768869#00039,staff-team-1696964412555#00002,2023-08-18T12:08:05,Soren
chat-1697112510031#00009,user-1696945768869#00039,staff-team-1696964685724#00004,2023-08-18T12:08:30,Nice to meet you too Nora
chat-1697112534930#00010,user-1696945768869#00039,staff-team-1697040506178#00018,2023-08-18T12:08:54,Hello Eren
chat-1697112592805#00011,user-1696945762662#00013,staff-team-1697010992116#00006,2023-10-06T12:09:52,Hello{&(thinkk-better-comma#1789)&} guys!
chat-1697112683640#00012,user-1696945764798#00022,staff-team-1697041059695#00021,2023-10-08T12:11:23,My name is Felix
chat-1697112748400#00013,user-1696945763848#00018,staff-team-1697048226225#00023,2023-09-08T12:12:28,Hi Nora
chat-1697112767221#00014,user-1696945763848#00018,staff-team-1697048261273#00024,2023-09-08T12:12:47,Welcome Aiden!!
chat-1697112803742#00015,user-1696945763848#00018,staff-team-1697048405013#00026,2023-09-08T12:13:23,Let's work together
chat-1697112901542#00016,user-1696945768154#00036,staff-team-1697017964905#00006,2023-09-04T12:15:01,Welcome Abigal and Gr{&(thinkk-better-newline#3389)&}ace!!!
chat-1697112993580#00017,user-1696945768393#00037,staff-team-1696963333627#00000,2023-10-08T12:16:33,Good evening team!
chat-1697178114083#00018,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:21:54,Did anyone see my phone on October 11th? I think I dropped it out of my bag. I feel really bad that I haven't used it for two days. ;w;
chat-1697178329711#00019,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:25:29,OwO
chat-1697178362945#00020,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:26:02,Eehhh?
chat-1697178392457#00021,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:26:32,violet one?
chat-1697178483315#00022,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:28:03,i saw it last two days{&(thinkk-better-comma#1789)&} but i can not remember that where did i see it
chat-1697178507106#00023,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:28:27,maybe it be with {&(thinkk-better-newline#3389)&}host?
chat-1697178613563#00024,user-1696945767677#00034,staff-team-1696964039012#00001,2023-08-29T06:30:13,WhAtT!!?
chat-1697178636275#00025,user-1696945767677#00034,staff-team-1696964039012#00001,2023-08-29T06:30:36,what phone?
chat-1697178711588#00026,user-1696945767677#00034,staff-team-1696964039012#00001,2023-08-29T06:31:51,You mean the pink one with Doraemon case???
chat-1697178777617#00027,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:32:57,* 8 *
chat-1697178785286#00028,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:33:05,Doreamon??
chat-1697178812636#00029,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:33:32,Doreamon is pink{&(thinkk-better-comma#1789)&} is it?
chat-1697178835855#00030,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:33:55,0-0
chat-1697178896464#00031,user-1696945767677#00034,staff-team-1696964039012#00001,2023-08-29T06:34:56,yeppp
chat-1697178901005#00032,user-1696945767677#00034,staff-team-1696964039012#00001,2023-08-29T06:35:01,why not?
chat-1697179004084#00033,user-1696945767421#00033,staff-team-1696964039012#00001,2023-08-29T06:36:44,Is it not pink ?? 0 o 0
chat-1697179035082#00034,user-1696945763611#00017,staff-team-1696964039012#00001,2023-08-29T06:37:15,It's blue.
chat-1697179038793#00035,user-1696945763611#00017,staff-team-1696964039012#00001,2023-08-29T06:37:18,...
chat-1697179107793#00036,user-1696945768869#00039,staff-team-1696964039012#00001,2023-08-29T06:38:27,yes
